id,pop,ocean
GE-IA029,IA,Indian
GE-IA030,IA,Indian
GE-IA031,IA,Indian
GE-IA032,IA,Indian
GE-IA033,IA,Indian
GE-IA034,IA,Indian
GE-IA035,IA,Indian
GE-IA036,IA,Indian
GE-IA037,IA,Indian
GE-IA038,IA,Indian
GE-IA039,IA,Indian
GE-IA040,IA,Indian
GE-IA041,IA,Indian
GE-IA042,IA,Indian
GE-IA043,IA,Indian
GE-IA044,IA,Indian
GE-IA045,IA,Indian
GE-IA046,IA,Indian
GE-IA047,IA,Indian
GE-IA048,IA,Indian
GE-IA049,IA,Indian
GE-IA050,IA,Indian
GE-IA051,IA,Indian
GE-IA052,IA,Indian
GE-IA053,IA,Indian
GE-IA054,IA,Indian
GE-IA055,IA,Indian
GE-IA056,IA,Indian
GE-IA057,IA,Indian
GE-IA058,IA,Indian
GE-IA059,IA,Indian
GE-IA060,IA,Indian
GE-IA061,IA,Indian
GE-IA062,IA,Indian
GE-IA063,IA,Indian
GE-IA064,IA,Indian
GE-IA065,IA,Indian
GE-IA066,IA,Indian
GE-IA067,IA,Indian
GE-IA068,IA,Indian
GE-IA069,IA,Indian
GE-IA070,IA,Indian
GE-IA071,IA,Indian
GE-IA072,IA,Indian
GE-IA073,IA,Indian
GE-IA074,IA,Indian
GE-IA075,IA,Indian
GE-IA076,IA,Indian
GE-IA077,IA,Indian
GE-IA078,IA,Indian
GE-IA079,IA,Indian
GE-IA080,IA,Indian
GE-IA081,IA,Indian
GE-IA082,IA,Indian
GE-IA083,IA,Indian
GE-IA084,IA,Indian
GE-IA085,IA,Indian
GE-IA086,IA,Indian
GE-IA087,IA,Indian
GE-IA088,IA,Indian
GE-IA089,IA,Indian
GE-IA090,IA,Indian
GE-IA091,IA,Indian
GE-IA092,IA,Indian
GE-IA093,IA,Indian
GE-IA094,IA,Indian
GE-IA095,IA,Indian
GE-IA096,IA,Indian
GE-IA097,IA,Indian
GE-IA098,IA,Indian
GE-IA099,IA,Indian
GE-IA100,IA,Indian
GE-IA101,IA,Indian
GE-IA102,IA,Indian
GE-IA103,IA,Indian
GE-IA104,IA,Indian
GE-IA105,IA,Indian
GE-IA106,IA,Indian
GE-IA107,IA,Indian
GE-IA108,IA,Indian
GE-IA109,IA,Indian
GE-IA110,IA,Indian
GE-IA111,IA,Indian
GE-IA112,IA,Indian
GE-IA113,IA,Indian
GE-IA114,IA,Indian
GE-IA115,IA,Indian
GE-IA116,IA,Indian
GE-IA117,IA,Indian
GE-IA118,IA,Indian
GE-IA119,IA,Indian
GE-IA120,IA,Indian
GE-IA121,IA,Indian
GE-IA122,IA,Indian
GE-IA123,IA,Indian
GE-IA124,IA,Indian
GE-IA125,IA,Indian
GE-IA126,IA,Indian
GE-IA127,IA,Indian
GE-IA128,IA,Indian
GE-IA129,IA,Indian
GE-IA130,IA,Indian
GE-IA131,IA,Indian
GE-IA132,IA,Indian
GE-IA133,IA,Indian
GE-IA134,IA,Indian
GE-IA135,IA,Indian
GE-IA136,IA,Indian
GE-IA137,IA,Indian
GE-IA138,IA,Indian
GE-IA139,IA,Indian
GE-IA140,IA,Indian
GE-IA141,IA,Indian
GE-IB002,IB,Indian
GE-IB003,IB,Indian
GE-IB005,IB,Indian
GE-IB006,IB,Indian
GE-IB007,IB,Indian
GE-IB009,IB,Indian
GE-IB011,IB,Indian
GE-IB012,IB,Indian
GE-IB013,IB,Indian
GE-IB014,IB,Indian
GE-IB015,IB,Indian
GE-IB016,IB,Indian
GE-IB017,IB,Indian
GE-IB018,IB,Indian
GE-IB019,IB,Indian
GE-IB020,IB,Indian
GE-IB021,IB,Indian
GE-IB022,IB,Indian
GE-IB023,IB,Indian
GE-IB024,IB,Indian
GE-IB025,IB,Indian
GE-IB026,IB,Indian
GE-IB027,IB,Indian
GE-IB028,IB,Indian
GE-IB029,IB,Indian
GE-IB030,IB,Indian
GE-IB031,IB,Indian
GE-IB032,IB,Indian
GE-IB033,IB,Indian
GE-IB034,IB,Indian
GE-IB035,IB,Indian
GE-IB036,IB,Indian
GE-IB038,IB,Indian
GE-IB039,IB,Indian
GE-IB040,IB,Indian
GE-IB041,IB,Indian
GE-IB042,IB,Indian
GE-IB043,IB,Indian
GE-IB044,IB,Indian
GE-IB045,IB,Indian
GE-IB046,IB,Indian
